"Name","Count","TotalSize(MB)"
".json","162","26.21"
".ts","87","0.09"
".md","17","0.1"
".jsonl","4","0"
".tsx","4","0.01"
".ps1","3","0.01"
".py","3","0.33"
".prisma","2","0.01"
".csv","2","0.04"
".js","1","0"
".html","1","0"
